Row Labels,Count of Gini index,Count of Access to electricity (% of population),"Count of Access to electricity, rural (% of rural population)","Count of Access to electricity, urban (% of urban population)",Count of Adjusted net national income per capita (annual % growth),"Count of Communications, computer, etc. (% of service imports, BoP)","Count of Compulsory education, duration (years)","Count of Computer, communications and other services (% of commercial service imports)",Count of Cost of business start-up procedures (% of GNI per capita),"Count of Current education expenditure, total (% of total expenditure in public institutions)","Count of Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Count of Employment to population ratio, ages 15-24, total (%) (national estimate)",Count of Fixed broadband subscriptions,Count of GDP (current US$),Count of Individuals using the Internet (% of population),"Count of International tourism, expenditures (current US$)","Count of Labor force participation rate for ages 15-24, total (%) (national estimate)",Count of Labor force with advanced education (% of total working-age population with advanced education),"Count of Labor force, female (% of total labor force)","Count of School enrollment, tertiary (% gross)",Count of Technicians in R&D (per million people),Count of Urban population (% of total population),Count of Urban population growth (annual %),Count of Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Count of Fixed broadband subscriptions (per 100 people),"Count of Individuals using the Internet, female (% of female population)","Count of Individuals using the Internet, male (% of male population)",Count of Mobile cellular subscriptions,Count of Mobile cellular subscriptions (per 100 people)
Guinea-Bissau,2,12,10,12,12,12,12,12,12,4,1,2,10,12,12,7,2,2,12,,,12,12,2,10,,,12,12
Guyana,,12,12,12,,12,12,12,12,4,2,2,11,12,12,,2,2,12,5,,12,12,,11,,,11,11
Haiti,1,12,11,12,12,12,12,12,12,,1,1,8,12,12,12,,1,12,,,12,12,1,8,,,12,12
Honduras,12,12,12,12,12,12,12,12,12,1,3,12,10,12,12,12,12,12,12,10,1,12,12,12,10,6,6,12,12
"Hong Kong SAR, China",,12,12,12,,12,12,12,12,5,8,11,12,12,12,11,12,11,12,12,11,12,12,,12,10,10,12,12
Hungary,12,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12
Iceland,10,12,12,12,8,11,12,11,12,12,10,12,12,12,12,,12,12,12,12,6,12,12,10,12,10,10,12,12
India,7,12,12,12,12,12,11,12,7,,4,4,12,12,12,9,4,4,12,12,3,12,12,7,12,1,1,12,12
Indonesia,12,12,12,12,12,12,12,12,7,8,5,12,12,12,12,12,12,12,12,12,3,12,12,12,12,8,8,12,12
"Iran, Islamic Rep.",10,12,12,12,12,,12,,12,7,9,12,12,12,12,11,12,11,12,12,4,12,12,10,12,8,8,12,12
Iraq,1,12,12,12,12,12,12,12,12,,2,4,6,12,12,12,4,1,12,,9,12,12,1,6,2,2,12,12
Ireland,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,12,12,11,11,12,12
Isle of Man,,12,12,12,,,,,,,,1,,12,,,2,,,,,12,12,,,,,,
Israel,12,12,12,12,12,12,12,12,12,12,4,12,12,12,12,12,12,11,12,12,,12,12,12,12,11,11,12,12
Italy,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,12,12,12,12,,12,12,12,12,12,12,12,12
Jamaica,1,12,12,12,12,12,12,12,12,10,9,12,12,12,12,12,12,11,12,7,,12,12,1,12,10,10,12,12
Japan,3,12,12,12,12,12,12,12,7,11,,12,12,12,12,12,12,7,12,7,11,12,12,3,12,12,12,12,12
Jordan,2,12,12,12,,12,12,12,12,4,3,6,12,12,12,12,3,3,12,10,1,12,12,2,12,,,12,12
Kazakhstan,12,12,12,12,12,12,12,12,12,12,2,,12,12,12,12,1,,12,10,11,12,12,12,12,5,5,12,12
Kenya,1,12,12,12,12,12,12,12,12,5,4,2,12,12,12,,2,2,12,5,1,12,12,1,12,3,3,12,12
Kiribati,1,12,9,12,,12,7,12,12,,2,3,12,12,12,1,3,2,,,,12,12,1,12,,,12,12
"Korea, Dem. People's Rep.",,11,,,,,12,,,,10,,,,6,,,,12,4,,12,12,,,,,11,11
"Korea, Rep.",8,12,12,12,12,12,12,12,12,4,8,12,12,12,12,12,12,12,12,12,11,12,12,8,12,11,11,12,12
Kosovo,9,,,,,12,,12,11,,,8,,12,2,,8,8,,,,,,9,,2,2,3,3
