Country Name,Attribute,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Communications, computer, etc. (% of service imports, BoP)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Fixed broadband subscriptions,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net (BoP, current US$)",GDP (current US$),Gini index,GNI (current US$),GNI (constant 2015 US$),Gross national expenditure (% of GDP),Individuals using the Internet (% of population),"Labor force participation rate for ages 15-24, total (%) (national estimate)",Labor force with advanced education (% of total working-age population with advanced education),Labor force with basic education (% of total working-age population with basic education),"Labor force, female (% of total labor force)","Literacy rate, adult total (% of people ages 15 and above)","Primary completion rate, total (% of relevant age group)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Secure Internet servers,Secure Internet servers (per 1 million people),Urban population (% of total population),Urban population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Fixed broadband subscriptions (per 100 people),"Individuals using the Internet, female (% of female population)","Individuals using the Internet, male (% of male population)",Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Column1,Data from database: World Development Indicators,Last Updated: 11/13/2024
Country Name,2011 [YR2011],99,97.6,99.7,66.93,65.72,65.42,,,,,1126.96,3.44,981000,1.18,-2037319358,2.18E+11,27.6,2.17E+11,1.65E+11,90.24,14.9,26.78,,,17.43,,97.85,0.99,32.61,18,0.49,68.24,2.92,0,0,2.66,,,35600000,97.46,,,
Country Name,2012 [YR2012],98.8,97.7,99.3,58.2,64.09,56.59,,,,,1242.06,3.76,1150000,0.66,-1541844615,2.27E+11,,2.25E+11,1.68E+11,91.99,18.2,,,,18.34,,99.64,,33.71,46,1.23,68.92,2.93,,,3.07,,,37500000,100.72,,,
Country Name,2013 [YR2013],99.2,97.8,99.8,55.86,63.93,53.63,95.68,,,,1283.61,4.11,1280000,0.74,-1963635050,2.30E+11,,2.26E+11,1.71E+11,97.55,22.5,,,,18.71,,102,,35.5,68,1.79,69.58,2.92,,,3.33,,,39500000,103.99,,,
Country Name,2014 [YR2014],99.3,97.9,99.9,58.18,59.1,56.08,,,,,1368.62,4.12,1600000,0.63,-1520777119,2.39E+11,,2.34E+11,1.78E+11,101.68,29.5,25.29,,,17.83,,101.01,,36.06,94,2.43,70.22,2.9,,,4.08,,,43300000,111.71,,,
Country Name,2015 [YR2015],99.4,98.1,99.9,57.91,58.37,55.85,,,,,,4.16,2270000,-0.29,638915215.3,1.87E+11,,1.84E+11,1.84E+11,112.15,38.2,25.19,,,19.05,,98.13,,38.33,152,3.84,70.85,2.89,,,5.67,,,43200000,109.32,,,
Country Name,2016 [YR2016],99.4,98.3,99.9,60.28,60.05,58.43,100,100,,,,4.16,2860000,0.91,-1591723072,1.81E+11,,1.80E+11,1.94E+11,112.79,42.95,24.61,,,19.73,,100.49,,44.11,309,7.66,71.46,2.85,,,7,,,47000000,116.61,,,
Country Name,2017 [YR2017],99.5,98.6,99.9,61.31,61.24,59.59,,100,,,,4.14,3210000,0.65,-1238809876,1.90E+11,,1.88E+11,1.95E+11,109.15,47.69,26.42,50.17,48.49,19.6,,102.32,,49.38,2621,63.71,72.05,2.78,,,7.7,,,45800000,111.45,,,
Country Name,2018 [YR2018],99.6,98.9,99.9,62.67,62.92,61.45,,,,,,4.11,3070000,0.75,-619904539.9,1.95E+11,,1.90E+11,1.96E+11,105.59,49.04,,,,19.47,81.41,102.69,,53.16,2855,68.09,72.63,2.7,,,7.22,42.86,55.13,47200000,112.47,,,
Country Name,2019 [YR2019],99.5,98.7,99.8,57.04,62.79,54.73,,,,,,4.07,3580000,0.71,-1350051614,1.93E+11,,1.90E+11,1.98E+11,105.69,58.98,,,,19.35,,99.73,,54.19,2154,50.44,73.19,2.61,,,8.28,,,45400000,106.37,,,
Country Name,2008 [YR2008],,,,,,,,,,,,,,,,560000000,,,,,,,,,,,,,,,,87.8,-0.99,,,,,,,,,,
Country Name,2009 [YR2009],,,,,,,,,,,,,,,,675000000,,,,,,,,,,,,,,,,87.7,-1.06,,,,,,,,,,
Country Name,2010 [YR2010],,,,,,,,,,,,,,,,573000000,,,,,,,,,,,,,,3,54.7,87.59,-1.06,,,,,,,,,,
Country Name,2011 [YR2011],,,,,,,,,,,,,,,,570000000,,,,,,,,,,,,,,1,18.41,87.5,-1.09,,,,,,,,,,
Country Name,2012 [YR2012],,,,,,,,,,,,,,,,640000000,,,,,,,,,,,,,,1,18.63,87.42,-1.24,,,,,,,,,,
Country Name,2013 [YR2013],,,,,,,,,,,,,,,,638000000,,,,,,,,,,,,,,0,0,87.35,-1.39,,,,,,,,,,
Country Name,2014 [YR2014],,,,,,,,,,,,,,,,643000000,,,,,,,,,,,,,,24,459.62,87.29,-1.55,,,,,,,,,,
Country Name,2015 [YR2015],,,,,,,,,,,,,,,,673000000,,,,,,,,,,,,,,1,19.47,87.24,-1.7,,,,,,,,,,
Country Name,2016 [YR2016],,,,,,,,,,,,,,,,671000000,,,,,,,,,,,,,,10,198.22,87.2,-1.85,,,,,,,,,,
Country Name,2017 [YR2017],,,,,,,,,,,,,,,,612000000,,,,,,,,,,,,,,55,1111.94,87.17,-2,,,,,,,,,,
Country Name,2018 [YR2018],,,,,,,,,,,,,,,,639000000,,,,,,,,,,,,,,25,516.27,87.15,-2.14,,,,,,,,,,
Country Name,2019 [YR2019],,,,,,,,,,,,,,,,647000000,,,,,,,,,,,,,,19,401.51,87.15,-2.31,,,,,,,,,,
Country Name,2008 [YR2008],100,100,100,,,,97.59,97.76,95.16,97.62,,,20700,,,4102319399,,,,,70.04,46.14,,,,,,,11.74,,,89,-3.08,,,24.76,,,64202,84.42,,,
Country Name,2009 [YR2009],100,100,100,,,,98.92,99.09,94.55,,,,22900,,,3688976341,,,,,78.53,,,,,,,,,,,88.91,-3.04,,,27.35,,,64549,87.4,,,
Country Name,2010 [YR2010],100,100,100,,,,97.77,97.78,94.55,98.32,,,24500,,,3449925739,,,,,81,,,,,,,,,58,810.97,88.82,-3.31,,,30.36,,,65495,91.58,,,
Country Name,2011 [YR2011],100,100,100,,,,98.58,98.49,94.55,98.82,,,25800,,,3629133574,,,,,81,,,,,,,,,79,1119.5,88.73,-1.44,,,33.12,,,65044,92.17,,,
Country Name,2012 [YR2012],100,100,100,,,,99.19,98.82,,,,,26900,,,3188652765,,,,,82.7,,,,,,,,13.28,92,1295.54,88.63,0.52,,,35.02,,,63865,89.94,,,
Country Name,2013 [YR2013],100,100,100,,,,99.12,98.88,98.72,99.42,,,27700,,,3193512950,,,,,84.4,,,,,,,,14.76,79,1106.95,88.54,0.39,,,36.88,,,63931,89.58,,,
Country Name,2014 [YR2014],100,100,100,,,,98.26,98,99.47,98.91,,,28800,,,3271685597,,,,,86.1,,,,,,66.28,,13.7,87,1214.73,88.44,0.25,,,39.02,,,66241,92.49,,,
Country Name,2015 [YR2015],100,100,100,,,,97.85,98.06,98.74,98.67,,,30700,,,2789881259,,,,,87.9,,,,,,66.09,,13.88,158,2202.21,88.35,0.07,,,42.53,,,71336,99.43,,,
Country Name,2016 [YR2016],100,100,100,,,,98.56,98.71,99.95,99.18,,,32500,,,2896610480,,,,,89.7,,,,,,68.5,,15.11,219,3019.02,88.25,0.99,,,45.01,,,76132,104.95,,,
Country Name,2017 [YR2017],100,100,100,,,,98.87,98.92,99.17,99.27,,,34300,,,3000162081,,,,,91.57,,,,,,65.82,,15.44,263,3561.9,88.15,1.66,,,46.48,90.27,92.85,80337,108.8,,,
Country Name,2018 [YR2018],100,100,100,,,,99.15,99.25,99.2,99.46,,,35700,,,3218419897,,,,,,,,,,,66.71,,15.39,400,5332.41,88.06,1.48,,,47.45,,,82614,110.13,,,
Country Name,2019 [YR2019],100,100,100,47.95,9.03,47.82,98.79,98.86,98.93,99.24,,,36400,,-320300855.9,3155149348,,3462355543,,,90.72,,,,,,64.22,,15,1557,20394.8,87.98,1.67,,,47.54,,,87909,115.15,,,
Country Name,2008 [YR2008],38.5,6.6,61.3,72.85,9.12,70.61,,,,,172.42,2.16,15900,1.9,890672963.9,88538665085,42.7,74821117363,56665760470,76.41,1.9,,,,50.41,,41.18,0.83,,,,58.28,4.98,14.6,4,0.07,,,6770000,31.23,,,
Country Name,2009 [YR2009],33.8,,57.7,73.59,9.17,72.2,,,,,189.31,2.27,15000,3.14,-2198545055,70307196182,,63484054939,63433984487,104.93,2.3,42.36,69.13,61.84,50.38,,40.97,0.82,,,,59.03,4.98,,,0.07,,,8110000,36.03,,,
Country Name,2010 [YR2010],35,,73.6,76.94,11.1,73.02,,,,,206.38,3.09,15000,-3.85,4567640566,83799474070,,75712612170,64986212677,81.04,2.8,57.24,,,50.36,,42.29,0.78,,30,1.28,59.78,5,,,0.06,,,9400000,40.25,,,
Country Name,2011 [YR2011],34.6,,82.5,81.82,8.11,80.8,,,,,206.69,4.18,15800,-2.7,5116413414,1.12E+11,,1.02E+11,67115638440,78.64,4.7,74.99,89.11,68.33,49.8,,49.09,0.63,6.33,45,1.85,60.53,5,,,0.07,,,12100000,49.77,,,
Country Name,2012 [YR2012],37.3,,70.3,77.88,6.69,76.87,,,,,218.55,4.4,20500,-1.14,2351103731,1.28E+11,,1.18E+11,73578409254,79.92,7.7,,,,49.8,,,,,80,3.18,61.27,4.97,,,0.08,,,12800000,50.76,,,
Country Name,2013 [YR2013],38.4,,68.6,74.58,4.36,72.71,,,,,278.81,4.6,22300,-5.38,8041583617,1.32E+11,,1.23E+11,78285795578,85.32,13,,,,49.81,,,,9.12,119,4.55,62,4.93,,,0.09,,,13300000,50.81,,,
Country Name,2014 [YR2014],32,,51,75.42,3.99,74.72,,,,,310.08,4.79,87800,2.69,-2770722211,1.36E+11,,1.28E+11,83557387182,89.94,21.36,26.1,68.66,38.86,49.82,66,,,,160,5.9,62.73,4.85,,,0.32,20.2,22.39,14100000,51.8,,,
Country Name,2015 [YR2015],42,3.8,64,72.37,5.43,71.21,,,,,,4.77,154000,11.08,-10813085379,90496420507,,85895384572,85895384572,103.38,22,,,,49.84,66.24,,,8.68,227,8.07,63.45,4.75,,,0.55,,,13900000,49.36,,,
Country Name,2016 [YR2016],41.8,,67.9,65.6,7.8,64.2,,,,,,4.78,84700,-0.34,452522618.9,52761617226,,50010057163,83468981824,97.12,23.2,,,,49.85,,,,9.66,240,8.23,64.15,4.69,,,0.29,,,13000000,44.59,,,
Country Name,2017 [YR2017],42.9,,69.4,64.83,8.23,62.41,,,,,,4.76,96900,-10.04,8749300466,73690154991,,69161228470,82360034589,94.25,26,,,,49.86,,,,9.66,322,10.66,64.84,4.62,,,0.32,,,13300000,44.11,,,
Country Name,2018 [YR2018],45.3,7.3,65.3,53.89,9.39,52.39,,,,,,4.73,110000,-8.13,6461790581,79450688259,51.3,73313113235,79497505191,84.71,29,,,,49.88,,,,9.35,345,11.03,65.51,4.5,31.1,11.9,0.35,,,13300000,42.49,,,
Country Name,2019 [YR2019],45.6,,72.2,49.96,8.51,48.94,,,,,,4.68,119000,-5.78,1749052912,70897962732,,64488157749,76712448211,76.25,32.13,54.39,91.47,79.18,49.89,,,,11.06,469,14.5,66.18,4.4,,,0.37,,,14800000,45.84,,,
Country Name,2008 [YR2008],100,100,100,53.49,5,52.32,,,,,,,4990,9.86,-162711605.6,1557540741,,1484962963,,,38,,,,,,109.44,0.97,,,,27.41,-0.66,,,6.01,,,136592,164.07,,,
Country Name,2009 [YR2009],98.5,98,99.9,59.62,5.19,58.7,,89.24,98.04,94.84,,,16000,6.06,-69742362.87,1386444444,,1318414815,,,42,,,,,,103.82,0.99,14.83,,,26.82,-0.64,,,19.03,,,134925,159.61,,,
Country Name,2010 [YR2010],98.7,98.2,100,56.93,5.02,55.78,,,,,,,7120,7.22,-79059859.91,1298255556,,1230670370,,,47,,,,,,119.34,0.97,16.6,60,700.16,26.24,-0.82,,,8.34,,,167970,196.01,,,
Country Name,2011 [YR2011],94.6,92.7,100,58.54,4.91,57.73,,,98.62,,,,6000,5.43,-45628081.83,1281337037,,1211055556,,,52,,,,,,119.08,0.96,15,73,841.7,25.7,-0.86,,,6.95,,,176008,202.94,,,
Country Name,2012 [YR2012],100,100,100,55.95,5.1,55.18,,,,,,,13100,9.41,-99309487.77,1327107407,,1240344444,,,58,,,,,,,1.04,24.93,47,536.08,25.53,0.39,,,14.98,,,127381,145.29,,,
Country Name,2013 [YR2013],100,100,100,55.35,4.9,54.26,,,,,,,15600,7.01,-68875852.77,1325425926,,1255111111,,,63.4,,,,,,114.1,,,65,734.49,25.35,0.24,,,17.77,,,114358,129.22,,,
Country Name,2014 [YR2014],100,100,100,50.06,5.75,50.01,,,,,,,10800,3.36,-39930998.38,1378829630,,1318096296,,,67.78,,,,,,119.14,0.97,,72,806.85,25.18,0.14,,,12.12,,,120041,134.52,,,
Country Name,2015 [YR2015],100,100,100,54.1,7.16,54.07,,,,,,,10000,7.93,-99949131.34,1437755556,,1353218519,1353218519,,70,,,,,,100.39,0.99,,65,722.7,25,0.09,,,11.18,,,176000,195.69,,,
Country Name,2016 [YR2016],100,100,100,57.04,6.44,57.04,,,,,,,9260,6.54,-59449394.19,1489692593,,1392288889,,,73,,,,,,102.69,,,76,839.19,24.85,0.08,,,10.29,,,180000,198.75,,,
Country Name,2017 [YR2017],100,100,100,53.92,5.89,53.92,,,,,,,9000,9.88,-139634744.3,1531151852,,1455000000,,,76.2,,,,,,107.81,0.98,,85,932.85,24.71,0.07,,,9.95,,,184000,201.93,,,
Country Name,2018 [YR2018],100,100,100,52.6,5.37,52.6,,,53.07,,,,,12.18,-203375783.5,1661529630,,1584474074,,,79.6,,,,,,104.44,0.98,,81,884.03,24.6,0.09,,,,,,,,,,
Country Name,2019 [YR2019],100,100,100,53.25,4.94,53.25,,,,,,,8000,7.76,-141185108.2,1725351852,,1653655556,,,83.2,,,,,,104.98,,,87,944.45,24.51,0.16,,,8.76,,,184000,199.75,,,
Country Name,2008 [YR2008],97.5,94,97.9,34.68,41.73,32.88,94.93,96.03,98.84,96.15,2759.51,4.58,3110000,2.69,-8334618541,3.62E+11,45,3.53E+11,5.20E+11,96.28,28.11,42.55,83.85,52.21,40.8,,102.39,1.05,68.82,,,90.53,1.17,1.6,0.6,7.71,,,46500000,115.48,,,
Country Name,2009 [YR2009],97.8,94.2,98.2,38.96,45.84,37.12,95.43,95.38,98.64,96.05,2716.6,4.45,3510000,1.21,-3305612521,3.33E+11,43.8,3.23E+11,4.87E+11,94.94,34,42.39,83.88,51.91,41.15,,103.05,1.05,71.04,,,90.69,1.19,1.6,0.5,8.59,,,52500000,129,,,
Country Name,2010 [YR2010],98.8,98.6,98.8,36.98,43.33,35.41,94.92,95.22,98.56,95.78,2877.65,4.51,4030000,2.68,-10367957946,4.24E+11,43.7,4.09E+11,5.34E+11,97.1,45,41.05,83.84,51.24,40.6,,103.41,1.04,74.19,1028,25.2,90.85,0.43,0.7,0.3,9.76,,,57100000,138.89,,,
Country Name,2011 [YR2011],99,97.8,99.2,38,46.08,36.73,94.75,90.2,,,2929.08,4.48,4570000,2.04,-9351930945,5.30E+11,42.7,5.15E+11,5.69E+11,98.31,51,40.92,83.64,51.48,40.49,,103.41,1.04,77.43,1404,34.03,90.99,1.31,0.7,0.3,10.96,,,60700000,146.25,,,
Country Name,2012 [YR2012],99.1,96.1,99.4,37.48,47.01,36.01,95.92,94.34,94.74,95.08,3000.6,3.97,5150000,2.81,-14269084339,5.46E+11,41.4,5.33E+11,5.66E+11,98.05,55.8,40.52,82.47,50.87,40.76,,103.75,1.03,78.46,2643,63.33,91.12,1.28,0.6,0.3,12.21,,,64300000,153.33,,,
Country Name,2013 [YR2013],99.3,95.4,99.7,39.03,47.05,37.77,96.14,90.89,97.11,94.15,2967.38,3.86,6250000,1.78,-8931688999,5.52E+11,41.1,5.40E+11,5.81E+11,100.1,59.9,40.1,82.65,49.78,40.67,,103.37,1.03,78.77,3117,73.86,91.25,1.26,0.7,0.3,14.68,,,67400000,158.92,,,
Country Name,2014 [YR2014],100,100,100,39.3,43.11,37.89,95.18,88.8,97.25,93.03,3074.7,3.48,6520000,0.96,-3144794109,5.26E+11,41.8,5.16E+11,5.67E+11,99.6,64.7,38.6,82.21,49.83,40.82,,105.39,1.03,81.17,3837,89.92,91.38,1.24,0.6,0.3,15.15,,,61200000,142.99,,,
